FileName,Graph Number,Sample Name, S_BET, Total pore volume, Micropore volume
Data146,5,HKC-700-2,1339,0.68,0.52
Data146,5,HKC-800-1,2153,1.13,0.85
Data146,5,HKC-800-2,1587,1.00,0.55
Data147,4,MS-900-15,1011,0.585,0.5179
Data147,4,MS-900-30,1363,0.8454,0.6727
Data147,4,MS-900-45,1677,1.0250,0.8339
Data147,4,MS-900-60,1888,1.1570,0.9483
Data147,4,MS-900-75,2079,1.2120,0.9735
Data147,4,MC900-120,1703,1.0320,0.8153
Data147,4,MC900-150,1905,1.204,0.9365
Data147,4,MC900-180,2080,1.2700,0.9974
Data147,4,MC900-210,2288,1.2990,1.0120
Data147,4,MC900-60,1162,0.7159,0.5703
Data147,4,MC900-90,1425,0.8820,0.7022
Data147,4,MCS900-15,1139,0.6911,0.5869
Data147,4,MCS900-30,1424,0.8276,0.7229
Data147,4,MCS900-45,1761,1.1020,0.8773
Data147,4,MCS900-60,2020,1.2480,1.0080
Data147,4,MCS900-75,2194,1.2930,1.0100
Data148,1,HN700,870,0.39,0.31
Data148,1,HN800,1297,0.61,0.47
Data148,1,HN900,1963,1.15,0.64
Data148,1,WN700,927,0.39,0.34
Data148,1,WN800,1277,0.74,0.44
Data148,1,WN900,1468,0.76,0.52
Data148,1,PN700,979,0.41,0.35
Data148,1,PN800,1212,0.51,0.43
Data148,1,PN900,1962,1.03,0.68
Data149,4,10M,417.89,0.2124,0.1223
Data149,4,4M,535.37,0.2672,0.1518
Data149,4,6M,536.06,0.2660,0.1594
Data149,4,8M,486.22,0.2427,0.1440
Data149,4,unmodified,766.52,0.7829,0.1793
Data150,4,10stC,1343,0.9253,0.7004
Data150,4,30stC,1101,0.7800,0.5506
Data150,4,50stC,1076,0.7629,0.5336
Data150,4,5stC,1313,0.8962,0.6729
Data151,5,PAC0,643.40,0.57,0.14
Data151,5,PAC2,1083.00,0.61,0.38
Data151,5,PAC4,1417.00,0.88,0.72
Data151,5,PAC6,1626.00,0.96,0.50
Data151,5,PAC8,1724.00,1.09,0.39
Data152,1,PC1,565.67,0.47,0.10
Data152,1,PC2,957.25,0.51,0.17
Data152,1,PC3,1728.50,0.88,0.49
Data152,1,PC4,1373.70,0.76,0.14
Data153,4,GC-C01,117.78,0.08,0.03
Data153,4,GC-C02,991.95,0.51,0.25
Data153,4,GC-C03,2103.45,1.04,0.44
Data153,4,GC-C04,1616.22,0.85,0.19
Data155,3,RK-500,366,0.21,0.08
Data155,3,RK-600,659,0.32,0.20
Data155,3,RK-700,859,0.40,0.24
Data155,3,RK-800,647,0.45,0.15
Data156,4,MCAC-1-1,757,0.3593,0.2186
Data156,4,MCAC-1-2,227,0.1181,0.0813
Data156,4,MCAC-2-1,1188,0.5003,0.2896
Data156,4,MCAC-3-1,393,0.2083,0.1149
Data157,5,CS-AKAC803,1067.11,0.64,0.42
Data157,5,CS-MSAC,687.63,0.31,0.22
Data157,5,CS-SHAC,391.36,0.23,0.15
